Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13623150,"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,"Mafi, Tahereh",,0062208195,9780062208194,4,4.03,Harper,ebook,111,2012,2012,,4/23/2016,2016,2016 (#26),read,,,,2,0
17331518,"Fracture Me (Shatter Me, #2.5)",Tahereh Mafi,"Mafi, Tahereh",,0062284835,9780062284839,2,3.38,HarperCollins,ebook,72,2013,2013,,4/23/2016,2016,2016 (#27),read,,,,1,0
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,,,5,4.47,HarperCollins ,Kindle Edition,421,2014,2014,,4/23/2016,"2016, 2018, owned","2016 (#25), 2018 (#14), owned (#36)",read,,,,2,1
44054122,"Imagine Me (Shatter Me, #6)",Tahereh Mafi,"Mafi, Tahereh",,006267644X,9780062676443,0,3.99,HarperCollins,ebook,450,2020,2020,,9/1/2020,to-read,to-read (#7),to-read,,,,0,0
34992929,"Restore Me (Shatter Me, #4)",Tahereh Mafi,"Mafi, Tahereh",,0062676369,9780062676368,3,4.17,HarperCollins,Hardcover,435,2018,2018,,7/12/2017,"2018, owned","2018 (#19), owned (#30)",read,,,,1,0
37642300,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,,,4,3.87,HarperCollins,Kindle Edition,339,2017,2011,,4/23/2016,"2016, owned","2016 (#6), owned (#37)",read,,,,1,0
13455782,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,0062085506,9780062085504,4,3.87,HarperCollins,Paperback,338,2012,2011,,2/20/2018,"2018, owned","2018 (#12), owned (#20)",read,,,,1,1
61085769,"These Infinite Threads (This Woven Kingdom, #2)",Tahereh Mafi,"Mafi, Tahereh",,0062972472,9780062972477,2,4.14,HarperCollins,Hardcover,416,2023,2023,4/9/2023,11/11/2022,"2023, owned","2023 (#11), owned (#70)",read,"Question: What’s actually happened in this book?<br/>Answer: Nothing. Multiple repetitive conversation. That’s it. <br/>Another thing, I’m seeing a latter between this series and the shatter me series, and I don’t like it. ",,,1,0
60489116,"This Woven Kingdom (This Woven Kingdom, #1)",Tahereh Mafi,"Mafi, Tahereh",,000853196X,9780008531966,4,4,Harpercollins Publishers,Paperback,494,2022,2022,8/31/2022,2/21/2022,"2022, owned","2022 (#63), owned (#65)",read,,,,1,0
18481271,"Unite Me (Shatter Me, #1.5-2.5)",Tahereh Mafi,"Mafi, Tahereh",,0062327968,9780062327963,4,3.97,HarperTeen,Paperback,197,2014,2014,,4/23/2016,,,read,,,,1,0
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,0062085530,9780062085535,4,4.16,HarperCollins ,Hardcover,461,2013,2013,,4/23/2016,"2016, 2018","2016 (#9), 2018 (#13)",read,,,,1,0
51824384,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,"Hibbert, Talia",,0062941283,9780062941282,3,4.13,Avon,ebook,400,2021,2021,4/6/2022,2/26/2022,2022,2022 (#31),read,,,,1,0
43884209,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,"Hibbert, Talia",,0062941208,9780062941206,3,3.82,Avon,Paperback,384,2019,2019,3/4/2022,12/3/2021,2022,2022 (#23),read,,,,1,0
49976087,"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,"Hibbert, Talia",,0062941259,9780062941251,2,4.03,Avon,ebook,400,2020,2020,4/3/2022,2/26/2022,2022,2022 (#30),read,,,,1,0
16056408,"Easy (Contours of the Heart, #1)",Tammara Webber,"Webber, Tammara",,0425266745,9780425266748,1,4.08,Penguin Berkley,Paperback,336,2012,2012,,7/6/2016,2016,2016 (#41),read,,,,1,0
35133922,Educated,Tara Westover,"Westover, Tara",,,,0,4.47,Random House,Hardcover,352,2018,2018,,12/29/2022,to-read,to-read (#176),to-read,,,,0,0
50523477,"The Jasmine Throne (The Burning Kingdoms, #1)",Tasha Suri,"Suri, Tasha",,0356515648,9780356515649,0,4.15,Orbit,Paperback,533,2021,2021,,11/7/2022,to-read,to-read (#147),to-read,,,,0,0
23492661,Maybe in Another Life,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,,,4,3.8,Washington Square Press,Paperback,342,2015,2015,9/4/2022,8/31/2022,"2022, owned","2022 (#66), owned (#5)",read,,,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,1501139231,9781501139239,5,4.44,Atria Books,Hardcover,389,2017,2017,6/21/2021,6/15/2021,2021,2021 (#13),read,,,,1,0
