Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Read Count,Series
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,,,0,4.28,Modern Library,Paperback,279,2000.0,1813.0,,4/28/2023,to-read,to-read (#214),to-read,,0,
59126924,Promised in Fire ,Jasmine Walt,"Walt, Jasmine",,1948108410,9781948108416.0,0,3.91,Dynamo Press,Paperback,414,2022.0,2022.0,,11/11/2022,to-read,to-read (#148),to-read,,0,"Of Dragons and Fae, #1"
10959277,The Future of Us,Jay Asher,"Asher, Jay",Carolyn Mackler,1595144919,9781595144911.0,2,3.57,Razorbill,Hardcover,356,2011.0,2011.0,,6/17/2016,2016,2016 (#35),read,,1,
13589184,The Future of Us,Jay Asher,"Asher, Jay",Carolyn Mackler,1595145168,9781595145161.0,2,3.57,Razorbill,Paperback,356,2012.0,2011.0,,2/20/2018,,,read,,1,
1217100,Thirteen Reasons Why,Jay Asher,"Asher, Jay",,1595141715,9781595141712.0,2,3.85,Razorbill,Hardcover,288,2007.0,2007.0,,4/23/2016,,,read,,1,
26114463,Nevernight ,Jay Kristoff,"Kristoff, Jay",,1250073022,9781250073020.0,0,4.23,St. Martin's Press,Hardcover,427,2016.0,2016.0,,2/26/2022,to-read,to-read (#35),to-read,,0,"The Nevernight Chronicle, #1"
34556994,Trickery ,Jaymin Eve,"Eve, Jaymin",Jane Washington,1544094019,9781544094014.0,0,4.17,CreateSpace Independent Publishing Platform,Paperback,372,2017.0,2017.0,,11/6/2022,to-read,to-read (#123),to-read,,0,Curse of the Gods #1
43263508,The Orchid Throne ,Jeffe Kennedy,"Kennedy, Jeffe",,1250194318,9781250194312.0,0,3.68,St. Martin's Paperbacks,Mass Market Paperback,362,2019.0,2019.0,,11/6/2022,to-read,to-read (#105),to-read,,0,"Forgotten Empires, #1"
53450790,The Perfect Marriage,Jeneva Rose,"Rose, Jeneva",,1913419657,9781913419653.0,0,3.98,Bloodhound Books,Paperback,342,2020.0,2020.0,,4/19/2023,to-read,to-read (#206),to-read,,0,
61194110,Of Mist and Shadow ,Jenna Wolfhart,"Wolfhart, Jenna",,,,0,3.8,,Kindle Edition,456,2022.0,,,11/7/2022,to-read,to-read (#142),to-read,,0,"The Mist King, #1"
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,,,0,4.48,Simon & Schuster,ebook,320,2022.0,2022.0,,1/26/2023,to-read,to-read (#192),to-read,,0,
61150440,A Fire in the Flesh ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,1957568496,,0,4.28,Blue Box Press,Kindle Edition,632,2023.0,2023.0,,1/17/2023,to-read,to-read (#180),to-read,,0,"Flesh and Fire, #3"
54319549,A Kingdom of Flesh and Fire ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,2,4.38,Blue Box Press,Kindle Edition,637,2020.0,2020.0,5/23/2021,5/21/2021,2021,2021 (#6),read,,1,"Blood and Ash, #2"
